# SpectraMap / WITec Raman Pipeline Export
# Timestamp: 2026-07-22T13:23:16.819078
# Scan File: sec_ext_res_cell
# Grid: 40x40 (1600 pixels)
# Processing Parameters:
#   crop_low: 400.0
#   crop_high: 3300.0
#   skip_silent: True
#   glass_method: None
#   cosmic_ray_threshold: 4.5
#   airpls_strength: 1000.0
#   airpls_itermax: 50
#   norm_mode: dual
#   n_endmembers: 8
#   map_interpolation: none
Wavenumber,Endmember_1,Endmember_2,Endmember_3,Endmember_4,Endmember_5,Endmember_6,Endmember_7,Endmember_8
6.270480000000000018e+02,2.367807221204517448e-02,6.645229522206612914e-03,2.845915130230389049e-03,2.267457103847192110e-02,1.254458713578499029e-02,3.647541521923711953e-03,3.139549274295433314e-03,1.700291588030333756e-02
6.298250000000000455e+02,2.230956553626092104e-02,4.320623669753525208e-03,2.170134160420550320e-03,2.774786997334653671e-02,2.066295206892162367e-02,1.737338544791036232e-03,4.293122677948901789e-03,1.358797154081417199e-02
6.326009999999999991e+02,2.139143211160948396e-02,1.284007918403249271e-03,8.235955028023174591e-04,2.468726573298825333e-02,1.531488842440144674e-02,-5.199981875559701351e-04,1.416074774454691371e-03,1.031052278265039493e-02
6.353759999999999764e+02,1.823994707207913721e-02,4.475305899505069773e-04,-3.554034047356458351e-04,2.108695095254362745e-02,7.834353662329424442e-03,5.618450192771908989e-04,1.406343849178712160e-03,9.419343481896819484e-03
6.381499999999999773e+02,1.806672050695492387e-02,-2.398653614108440905e-04,-1.936432738224368004e-04,1.667248996177842987e-02,2.413048718806589873e-03,1.686481492209333279e-03,7.509129074668417520e-04,1.074577281852817298e-02
6.409239999999999782e+02,2.041814809808042280e-02,-2.824711517613735009e-04,1.209703721044557301e-03,1.335178895732593192e-02,1.276988868950178040e-04,2.717306347044043304e-03,2.011514340855011587e-03,1.425646252623172933e-02
6.436960000000000264e+02,2.356060523111738747e-02,2.517156999056164614e-03,2.439190823977489906e-03,1.565882910082392124e-02,3.540912978104114421e-03,4.032120949258751613e-03,6.204356405200096847e-03,1.730128161605275564e-02
6.464679999999999609e+02,2.126380984491708925e-02,5.240480164795169316e-03,1.293827787637296962e-03,1.854015943090940935e-02,8.487735349413903785e-03,4.982665389183054544e-03,5.790101233001953424e-03,1.414811312613671254e-02
6.492380000000000564e+02,1.617151726464757105e-02,1.642815457693678691e-03,-1.264228497343408914e-03,1.062029598581239534e-02,-2.712860223448841125e-04,1.480922017377600411e-03,2.124554081915995974e-03,1.161402036516230238e-02
6.520080000000000382e+02,1.470488181502637576e-02,-1.218244695576670318e-03,-2.351904185458283426e-03,6.148790412929586689e-04,-9.324997446049509628e-03,-9.657047479341299492e-04,4.626388679825090260e-04,1.314031244920589939e-02
